pl,v,markets,zip
1.56177156177156,27.5058275058275,3.0,15147.0
5.84415584415584,40.321583178726,10.0,15147.0
5.83153347732181,39.8950941067572,10.0,15147.0
5.8459635013919,39.9938137952366,10.0,15147.0
5.83693638048178,42.1865348980852,10.0,15147.0
1.14780979152026,7.56617474818459,3.0,15104.0
5.0,32.6533333333333,9.0,15241.0
2.02885185429155,20.0513800144918,4.0,15241.0
3.14687442936271,24.7550063911376,7.0,15241.0
2.41082757648386,27.7456647398844,5.0,15241.0
2.69760577238439,16.7677927189242,6.0,15241.0
3.68973433912758,18.8586421777632,8.0,15241.0
2.76337046169543,19.080010203214,6.0,15241.0
2.42264962370087,12.9351331979453,5.0,15238.0
3.76627947905667,23.2664554734249,8.0,15112.0
1.94290838439695,10.2226871917501,4.0,15112.0
0.506445672191529,5.37523020257827,1.0,15132.0
0.299539170506912,3.30645161290323,1.0,15132.0
0.776824728920537,12.2511733290176,2.0,15132.0
0.791165320586781,12.2630624690951,2.0,15132.0
1.23621590249565,10.0870574579222,3.0,15236.0
1.994825708061,11.4413126361656,4.0,15241.0
1.27287191726333,6.82577565632458,3.0,15108.0
2.89522351890823,24.1119826541675,6.0,15108.0
1.92260635508792,11.6055510888943,4.0,15108.0
1.94595934556272,25.5825483391175,4.0,15143.0
0.508986239820275,6.61682111766358,1.0,15143.0
0.70221768748312,4.18029589172644,2.0,15116.0
0.700874192322311,3.8753325731661,2.0,15116.0
1.90569048041127,23.0189682680376,4.0,15116.0
1.2448132780083,12.286468718004,3.0,15116.0
0.648196079313992,6.00256577614728,2.0,15116.0
1.55153046896939,16.147149677057,3.0,15116.0
1.69281904614671,20.6462085491227,4.0,15116.0
2.05459631523102,20.1601234686988,5.0,15116.0
2.2602375465343,20.1205460024818,5.0,15116.0
1.76652556170628,19.7655486812113,4.0,15116.0
0.825554073791833,7.35060646472344,2.0,15116.0
0.528704847040818,3.48875632619698,1.0,15116.0
1.58547958964058,15.3023889805581,3.0,15116.0
2.00524737631184,22.8260869565217,4.0,15116.0
2.24239188467699,22.4239188467699,5.0,15116.0
0.532744510453359,4.26195608362687,1.0,15116.0
1.21294505149788,8.07758665760443,3.0,15116.0
1.55732569587398,8.64136758256511,3.0,15116.0
0.807499535919807,6.84054204566549,2.0,15116.0
0.890813703742826,7.05256857152917,2.0,15116.0
0.945734660412615,9.40777180337871,2.0,15116.0
2.38751147842057,13.406795224977,5.0,15116.0
1.47757255936675,10.5936675461741,3.0,15116.0
1.30113636363636,9.82386363636364,3.0,15116.0
1.53492281151856,8.79373645331092,3.0,15116.0
4.3934965290464,22.3176227012544,9.0,15238.0
5.05329648637979,47.3746545598105,9.0,15238.0
1.61616161616162,10.0099479644934,4.0,15238.0
4.71171729696218,33.5754140465858,9.0,15238.0
1.59939787374165,37.4070937999812,4.0,15139.0
1.9047619047619,14.2361111111111,4.0,15235.0
5.81671849277483,31.7724528992135,10.0,15236.0
5.86385497595264,29.2452830188679,10.0,15236.0
5.21482453263365,47.097408986553,9.0,15236.0
5.21482453263365,50.5083633978354,9.0,15236.0
5.21482453263365,48.3207609052148,9.0,15236.0
1.4186958316137,10.9368551382584,3.0,15102.0
2.71712325696095,16.3655113661839,6.0,15102.0
4.28930466350181,33.3705668807596,8.0,15241.0
3.10844224655599,52.3489932885906,7.0,15108.0
1.2202380952381,37.3095238095238,3.0,15056.0
2.91201429209469,26.0741402411791,6.0,15225.0
1.61356001221623,11.4527130204622,4.0,15225.0
2.84276729559748,14.2893081761006,6.0,15237.0
2.04444444444444,10.2868686868687,5.0,15071.0
2.07028967359546,11.3782452625428,5.0,15229.0
1.76036342986939,18.3905248641194,4.0,15116.0
2.50078889239508,16.4326285894604,6.0,15116.0
1.99254959715845,17.2398856449796,4.0,15116.0
2.24526782118405,17.5392670157068,5.0,15116.0
0.419612314709236,6.22881033827442,1.0,15116.0
2.21272594006279,12.3082880415992,5.0,15238.0
2.2591524115233,23.9973995367925,5.0,15238.0
1.54761904761905,10.5952380952381,3.0,15147.0
1.51444547996272,10.3681267474371,3.0,15147.0
2.79223031564343,13.735691987513,6.0,15035.0
1.26539753639418,9.70324748040314,3.0,15047.0
2.16523341523342,14.8034398034398,5.0,15213.0
1.75547938090786,19.3310480939026,4.0,15236.0
3.13465783664459,19.2163355408389,7.0,15213.0
2.89375333689269,21.0464495461826,6.0,15213.0
3.08769513314968,22.7502295684114,7.0,15236.0
4.30892394631505,25.6357428773252,8.0,15143.0
3.75286954785907,26.9487972851582,8.0,15143.0
1.07250487502216,7.55776162618921,2.0,15237.0
1.26299881256522,8.56032528516426,3.0,15225.0
1.83793103448276,7.58620689655172,4.0,15225.0
1.10060975609756,7.70121951219512,2.0,15225.0
1.42087821043911,11.2427506213753,3.0,15225.0
1.42916666666667,11.4041666666667,3.0,15225.0
1.42916666666667,8.74166666666667,3.0,15225.0
0.60158486495457,3.26930257644277,1.0,15225.0
2.44436594842812,13.4086895090074,5.0,15237.0
2.34351647037723,14.9279607819693,5.0,15101.0
3.5318217136399,21.1909302818394,7.0,15237.0
3.20974322054236,21.0823134149268,7.0,15237.0
1.30732347034958,10.0938486127618,3.0,15237.0
2.08243418213207,14.1202704646813,5.0,15237.0
1.21429959199534,4.87986529369859,3.0,15101.0
1.03872840700859,5.8494101175647,2.0,15238.0
1.26127357201421,4.79912544411041,3.0,15238.0
1.05474742131711,4.35651943930177,2.0,15238.0
1.8221480816117,10.8751443603234,4.0,15144.0
1.8173702333886,12.9447774518556,4.0,15144.0
1.89736664415935,11.4584740040513,4.0,15144.0
1.39066707871617,7.93342457286654,3.0,15144.0
1.0049955921246,10.3908316191596,2.0,15144.0
1.81359044995409,15.7139577594123,4.0,15144.0
0.587480342003941,2.34088320890801,1.0,15144.0
1.48463455149502,8.01495016611296,3.0,15235.0
0.0919966119868413,0.207150991818646,1.0,15137.0
1.76547873213992,20.454918705863,4.0,15129.0
0.57467787792632,6.20047184078398,1.0,15129.0
2.95432576123731,15.4241179313678,6.0,15102.0
2.39407057588876,21.8680309589401,5.0,15241.0
4.93560376869219,18.6965165528568,9.0,15241.0
2.02796456398762,16.4852172056783,4.0,15046.0
1.38851597560508,8.78754171301446,3.0,15046.0
3.18240492503227,13.290636480985,7.0,15051.0
1.24794089751909,13.8271851445116,3.0,15051.0
0.192278559192663,1.87908591938284,1.0,15024.0
2.63621577663323,25.7047980482516,6.0,15046.0
0.789146446449638,4.46385868698785,2.0,15046.0
0.983249487955349,3.55801419492968,2.0,15143.0
2.59506936820042,15.0414212995309,6.0,15237.0
2.65787949015064,17.2146581691773,6.0,15101.0
0.858982447871928,5.8912513017765,2.0,15238.0
0.830728003573024,6.33318445734703,2.0,15024.0
3.23336915111849,13.7833349614145,7.0,15051.0
3.2064322386903,14.3950402014918,7.0,15051.0
1.86364585508457,7.31885571100439,4.0,15024.0
3.17581786875837,17.2182896498948,7.0,15051.0
3.2967032967033,15.7842157842158,7.0,15024.0
2.84649271433412,13.2497458488648,6.0,15024.0
2.45354760025827,12.1457780328575,5.0,15024.0
2.09907640638119,9.09199952021111,5.0,15024.0
3.00684191573641,16.546633057256,7.0,15051.0
2.92648733899939,14.1417681591168,6.0,15051.0
2.98374128997677,12.1582990887976,7.0,15051.0
3.25275157232704,14.5047169811321,7.0,15024.0
2.05114054451803,14.9742457689478,5.0,15144.0
1.21481481481481,6.59259259259259,3.0,15144.0
1.4087446519879,8.52551393091934,3.0,15144.0
